phi,P_atm,Tad_K,T0_K
0.4,1,1426.97,300
0.7,1,2012.93,300
1.0,1,2379.56,300
1.3,1,2326.02,300
1.6,1,2206.35,300
1.9,1,2095.13,300
2.2,1,1994.43,300
2.5,1,1903.54,300
2.8,1,1821.4,300
3.1,1,1746.98,300
3.4,1,1679.34,300
3.7,1,1617.62,300
4.0,1,1561.1,300
4.3,1,1509.15,300
4.6,1,1461.25,300
0.4,3,1427.03,300
0.7,3,2016.82,300
1.0,3,2411.61,300
1.3,3,2339.84,300
1.6,3,2213.65,300
1.9,3,2099.2,300
2.2,3,1996.7,300
2.5,3,1904.8,300
2.8,3,1822.11,300
3.1,3,1747.39,300
3.4,3,1679.57,300
3.7,3,1617.77,300
4.0,3,1561.2,300
4.3,3,1509.23,300
4.6,3,1461.32,300
0.4,5,1427.05,300
0.7,5,2018.22,300
1.0,5,2424.52,300
1.3,5,2344.47,300
1.6,5,2216.03,300
1.9,5,2100.5,300
2.2,5,1997.42,300
2.5,5,1905.2,300
2.8,5,1822.34,300
3.1,5,1747.52,300
3.4,5,1679.66,300
3.7,5,1617.83,300
4.0,5,1561.26,300
4.3,5,1509.29,300
4.6,5,1461.38,300
0.4,1,1511.54,400
0.7,1,2086.22,400
1.0,1,2429.07,400
1.3,1,2390.41,400
1.6,1,2278.15,400
1.9,1,2171.25,400
2.2,1,2073.58,400
2.5,1,1984.9,400
2.8,1,1904.45,400
3.1,1,1831.36,400
3.4,1,1764.81,400
3.7,1,1704.02,400
4.0,1,1648.32,400
4.3,1,1597.11,400
4.6,1,1549.89,400
0.4,3,1511.65,400
0.7,3,2091.97,400
1.0,3,2466.37,400
1.3,3,2409.7,400
1.6,3,2288.98,400
1.9,3,2177.68,400
2.2,3,2077.4,400
2.5,3,1987.16,400
2.8,3,1905.79,400
3.1,3,1832.17,400
3.4,3,1765.29,400
3.7,3,1704.32,400
4.0,3,1648.51,400
4.3,3,1597.25,400
4.6,3,1549.99,400
0.4,5,1511.7,400
0.7,5,2094.04,400
1.0,5,2481.61,400
1.3,5,2416.34,400
1.6,5,2292.58,400
1.9,5,2179.76,400
2.2,5,2078.61,400
2.5,5,1987.88,400
2.8,5,1906.22,400
3.1,5,1832.42,400
3.4,5,1765.46,400
3.7,5,1704.43,400
4.0,5,1648.59,400
4.3,5,1597.31,400
4.6,5,1550.05,400
0.4,1,1595.79,500
0.7,1,2157.43,500
1.0,1,2475.97,500
1.3,1,2450.68,500
1.6,1,2346.88,500
1.9,1,2245.01,500
2.2,1,2150.92,500
2.5,1,2064.9,500
2.8,1,1986.46,500
3.1,1,1914.93,500
3.4,1,1849.62,500
3.7,1,1789.85,500
4.0,1,1735.02,500
4.3,1,1684.58,500
4.6,1,1638.04,500
0.4,3,1596.02,500
0.7,3,2165.68,500
1.0,3,2518.66,500
1.3,3,2476.44,500
1.6,3,2362.25,500
1.9,3,2254.68,500
2.2,3,2157.01,500
2.5,3,2068.72,500
2.8,3,1988.86,500
3.1,3,1916.45,500
3.4,3,1850.58,500
3.7,3,1790.47,500
4.0,3,1735.43,500
4.3,3,1684.85,500
4.6,3,1638.23,500
0.4,5,1596.11,500
0.7,5,2168.66,500
1.0,5,2536.33,500
1.3,5,2485.59,500
1.6,5,2367.48,500
1.9,5,2257.87,500
2.2,5,2158.98,500
2.5,5,2069.94,500
2.8,5,1989.62,500
3.1,5,1916.93,500
3.4,5,1850.89,500
3.7,5,1790.68,500
4.0,5,1735.57,500
4.3,5,1684.96,500
4.6,5,1638.31,500
